,Name,Security Type,Symbol,Issue Period,Issue Size (No. of Shares),Face Value,Market Lot
246,Dynamic Cables Ltd,Equity,DYNAMIC,04 Dec 2017 to 06 Dec 2017,5844000,10.00,3000
247,Ratnabhumi Developers Limited,Equity,RATNABHUMI,04 Dec 2017 to 06 Dec 2017,3700000,10.00,2000
248,Sharika Enterprises Limited,Equity,SHARIKA,15 Nov 2017 to 17 Nov 2017,3225000,10.00,3000
249,Sanghvi Brands Ltd,Equity,SANGHVI,10 Nov 2017 to 14 Nov 2017,2748000,10.00,2000
250,Sheetal Cool Products Ltd,Equity,SHEETAL,16 Oct 2017 to 18 Oct 2017,3000000,10.00,1600
251,Kaarya Facilities And Services Ltd,Equity,KAARYAFAC,12 Oct 2017 to 17 Oct 2017,1599000,10.00,3000
252,Shree Ganesh Remedies Limited,Equity,SGRL,28 Sep 2017 to 05 Oct 2017,2376000,10.00,3000
253,Shreeji Translogistics Limited,Equity,STL,29 Sep 2017 to 05 Oct 2017,954000,10.00,1000
254,Iris Business Services Ltd,Equity,IRIS,29 Sep 2017 to 04 Oct 2017,5004000,10.00,4000
255,Mehai Technology Ltd,Equity,MEHAI,25 Sep 2017 to 28 Sep 2017,1500000,10.00,3000
256,Vanta Bioscience Ltd,Equity,VANTABIO,25 Sep 2017 to 27 Sep 2017,1512000,10.00,3000
257,Poojawestern Metaliks Limited,Equity,POOJA,22 Sep 2017 to 26 Sep 2017,1521000,10.00,3000
258,Share India Securities Ltd,Equity,SISL,21 Sep 2017 to 26 Sep 2017,6432000,10.00,3000
259,Trident Texofab Limited,Equity,TRIDENT,21 Sep 2017 to 26 Sep 2017,1176000,10.00,4000
260,Akm Lace And Embrotex Limited,Equity,AKM,20 Sep 2017 to 22 Sep 2017,1902000,10.00,6000
261,Nouritrans Exim Limited,Equity,NOURITRANS,04 Sep 2017 to 07 Sep 2017,2040000,10.00,4000
262,A&M Febcon Limited,Equity,AMFL,01 Sep 2017 to 06 Sep 2017,3712000,10.00,8000
263,Dhruv Wellness Limited,Equity,DWL,31 Aug 2017 to 04 Sep 2017,2784000,10.00,6000
264,Ang Lifesciences India Ltd,Equity,ANG,29 Aug 2017 to 31 Aug 2017,1500800,10.00,1600
265,Shish Industries Limited,Equity,SHISHIND,23 Aug 2017 to 28 Aug 2017,1352000,10.00,4000
266,Ashok Masala Mart Limited,Equity,AMML,07 Aug 2017 to 11 Aug 2017,2010000,10.00,10000
267,Globalspace Technologies Ltd,Equity,GSTL,26 Jul 2017 to 28 Jul 2017,3034000,10.00,2000
268,Captain Technocast Ltd,Equity,CTCL,20 Jul 2017 to 24 Jul 2017,1425000,10.00,3000
269,Jigar Cables Limited,Equity,JIGAR,18 Jul 2017 to 20 Jul 2017,1864000,10.00,4000
270,Salasar Techno Engineering Limited,Equity,SALASAR,12 Jul 2017 to 17 Jul 2017,3321000,10.00,125
271,7Nr Retail Limited,Equity,7NR,05 Jul 2017 to 10 Jul 2017,1896000,10.00,4000
272,G G Engineering Limited,Equity,GGENG,30 Jun 2017 to 07 Jul 2017,1116000,10.00,6000
273,Gautam Exim Limited,Equity,GEL,29 Jun 2017 to 03 Jul 2017,831000,10.00,3000
274,Riddhi Corporate Services Ltd,Equity,RIDDICORP,12 Jun 2017 to 15 Jun 2017,950000,10.00,1000
275,Yug Decor Ltd,Equity,YUG,18 May 2017 to 23 May 2017,1108000,10.00,4000
276,Bhakti Gems And Jewellery Ltd,Equity,BHAKTI,17 May 2017 to 22 May 2017,1962000,10.00,6000
277,Meera Industries Limited,Equity,MEERA,27 Apr 2017 to 04 May 2017,1080000,10.00,3000
278,Pure Giftcarat Limited,Equity,PGL,26 Apr 2017 to 28 Apr 2017,5730000,10.00,10000
279,Kms Medisurgi Limited,Equity,KMS,12 Apr 2017 to 17 Apr 2017,900000,10.00,4000
280,Escorp Asset Management Limited,Equity,ESCORP,31 Mar 2017 to 06 Apr 2017,2160000,10.00,8000
281,Octaware Technologies Limited,Equity,OCTAWARE,17 Mar 2017 to 24 Mar 2017,955200,10.00,1600
282,Relstruct Buildcon Limited,Equity,RELSTRUCT,22 Mar 2017 to 24 Mar 2017,4671000,10.00,3000
283,Prime Customer Services Limited,Equity,PRIMECUST,20 Mar 2017 to 23 Mar 2017,1214000,10.00,2000
284,Manas Properties Limited,Equity,MANAS,17 Mar 2017 to 22 Mar 2017,1110000,10.00,300
285,Maximus International Limited,Equity,MAXIMUS,17 Mar 2017 to 22 Mar 2017,1506000,10.00,6000
286,Oceanic Foods Limited,Equity,OCEANIC,20 Mar 2017 to 22 Mar 2017,1000000,10.00,2000
287,Chemcrux Enterprises Ltd,Equity,CHEMCRUX ,15 Mar 2017 to 20 Mar 2017,1336000,10.00,8000
288,Jash Dealmark Limited,Equity,JDL,15 Mar 2017 to 17 Mar 2017,1350000,10.00,3000
289,Sarthak Metals Limited,Equity,SMLT,10 Mar 2017 to 17 Mar 2017,3636000,10.00,4000
290,Ifl Enterprises Ltd,Equity,IFL,07 Mar 2017 to 10 Mar 2017,1626000,10.00,6000
291,Rmc Switchgears Limited,Equity,RMC,28 Feb 2017 to 03 Mar 2017,1536000,10.00,4000
292,Tanvi Foods (India) Ltd,Equity,TANVI,17 Feb 2017 to 22 Feb 2017,1100000,10.00,2000
293,Super Fine Knitters Limited,Equity,SKL,18 Jan 2017 to 24 Jan 2017,3400000,10.00,10000
294,Veeram Ornaments Limited,Equity,VOL,23 Dec 2016 to 28 Dec 2016,1137000,10.00,3000
295,Aditya Vision Ltd,Equity,AVL,28 Nov 2016 to 05 Dec 2016,3840000,10.00,8000
296,Bindal Exports Limited,Equity,BINDALEXPO,30 Sep 2016 to 06 Oct 2016,1248000,10.00,8000
297,India Green Reality Limited,Equity,IGRL,30 Sep 2016 to 06 Oct 2016,3460000,10.00,4000
298,Mewar Hi-Tech Engineering Limited,Equity,MHEL,30 Sep 2016 to 06 Oct 2016,1062000,10.00,6000
299,Shashijit Infraprojects Limited,Equity,SHASHIJIT,30 Sep 2016 to 06 Oct 2016,2328000,10.00,8000
